"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1322","Verify multiple DOM elements exist","chromium","2026-03-29","passed","2026-03-29","","orders.spec.js","",""
"","680","has title","firefox","2026-03-29","passed","2026-03-29","","example.spec.js","",""
"","1336","checking Estimator button functionality","chromium","2026-03-29","passed","2026-03-29","","dashBoard.spec.js","",""
"","1838","Verify logout from chat page","chromium","2026-03-29","passed","2026-03-29","","messages.spec.js","",""
"","5645","checking for Browse available bikes link navigates to browse bike page","webkit","2026-03-29","passed","2026-03-29","","dashBoard.spec.js","",""
"","864","TC01 - Register form visible","firefox","2026-03-29","passed","2026-03-29","Module 2 - User Registration","register.spec.js","",""
"","736","TC14 - Register link visible","chromium","2026-03-29","passed","2026-03-29","Login Module - Test Cases","login.spec.js","",""
"","1048","TC13 - Rapid submit clicks","firefox","2026-03-29","passed","2026-03-29","Module 2 - User Registration","register.spec.js","",""
"","6508","Verify orders page loads","webkit","2026-03-29","passed","2026-03-29","","orders.spec.js","",""
"","1597","TC15 - Login form visible","firefox","2026-03-29","passed","2026-03-29","Login Module - Test Cases","login.spec.js","",""
"","929","TC15 - Cart layout visible","chromium","2026-03-29","passed","2026-03-29","Module 5 - Shopping Cart","cart.spec.js","",""
"","879","TC08 - Invalid email format","chromium","2026-03-29","passed","2026-03-29","Module 2 - User Registration","register.spec.js","",""
"","928","TC16 - Login link visible","firefox","2026-03-29","passed","2026-03-29","Module 2 - User Registration","register.spec.js","",""
"","2193","checking logout button functionality","firefox","2026-03-29","passed","2026-03-29","","dashBoard.spec.js","",""
"","536","TC02 - Name input visible","chromium","2026-03-29","passed","2026-03-29","Module 2 - User Registration","register.spec.js","",""
"","1165","TC07 - Empty form submission","firefox","2026-03-29","passed","2026-03-29","Module 2 - User Registration","register.spec.js","",""
"","1927","TC04 - Item names visible","firefox","2026-03-29","passed","2026-03-29","Module 5 - Shopping Cart","cart.spec.js","",""
